"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
1,1.03978123796918,0.45315328161821,0.81592777659995,1.08441904910045,0.838218663240025,0.608886493684168,0.918292115749823,0.386530298139094,0.700804321381081,0.71882149010885,1.01368974838078,0.310717421821561,1.51578618091587,0.66821334261259,0.289208447350309,0.768026616847443,0.399569864149861,0.677376505651412,0.650831688599328,0.373772609953234,0.903801134717558
2,1.05288901599802,0.459066757375965,0.828357964813241,1.09868945371285,0.852237183078868,0.619227548862407,0.931993181625952,0.391265960396761,0.711921022714763,0.729434464962319,1.02730750678004,0.313857603238991,1.53988804704029,0.678205901251365,0.29355425984356,0.780297063371582,0.406109536970969,0.687630973162864,0.659730485421794,0.37956234322299,0.917325568992229
3,1.04017752700192,0.452324208114472,0.813087870821829,1.08396965573037,0.834232282388809,0.606434909907857,0.915948123204308,0.385480317622038,0.697659121499801,0.716862893877986,1.01284279671979,0.31029666929447,1.50854811004194,0.66609595615358,0.288442234365497,0.764594704023987,0.397829224525316,0.675324625355944,0.65050943415712,0.372413198521059,0.901427029547321
4,1.0476036242684,0.457266372035459,0.825698344367498,1.09315374093328,0.849542610965127,0.616674870375699,0.928452087662428,0.389825179565866,0.71000932870641,0.726881971915761,1.02278733154143,0.312827410810208,1.53757049124352,0.676291225381778,0.292763237452507,0.778073693878077,0.405090375359553,0.685054210787402,0.657286131954381,0.378477992720777,0.913970603364176
5,1.04481996308218,0.454407973161708,0.817544239000714,1.08924745161378,0.839509955399685,0.610785617037322,0.921072534602766,0.386996844041828,0.701698522634394,0.720531234931282,1.01765096097566,0.311157116242102,1.51498281267458,0.669196877976293,0.289701203113607,0.769159710251136,0.399949137574454,0.678883962509642,0.653531799635047,0.374255752926046,0.906386476460716
6,1.03427722525171,0.450883604230473,0.813459090048855,1.07863958828156,0.836194231147852,0.607059321517196,0.914957805952843,0.384255893601497,0.699064101662918,0.716522647250339,1.00906394235,0.308728065446142,1.51541825841361,0.666728678971681,0.288743781816723,0.766005989687022,0.399112443933396,0.675223592171003,0.648601246120665,0.373037602733611,0.900756560528393
7,1.05053718292076,0.457652566195328,0.827096571870859,1.09643801326621,0.851763155423326,0.619703762206816,0.931018536270484,0.389291274553037,0.711007115770765,0.728065116189355,1.02525996552629,0.311795696430065,1.53498675638396,0.676559089030428,0.292879225975736,0.779496814331023,0.405473590109985,0.686363172132227,0.658869656430729,0.378740473413057,0.916262163633587
8,1.0483647326911,0.455222998721516,0.819917437278899,1.09221100244843,0.841730525896695,0.61227600821084,0.923712192913211,0.387060192809514,0.703559291411636,0.723006374680156,1.02095332210898,0.311301898600199,1.52378634732135,0.672160342714684,0.29135779692154,0.771054273756586,0.401875778796818,0.681169612180956,0.656627045249687,0.375910201516954,0.90924621499823
9,1.04291868053073,0.454306070035206,0.819085442917671,1.08707322371468,0.841277602324762,0.611021339716218,0.921867320459388,0.386792028979983,0.703776882986521,0.721438394872488,1.01713134732807,0.311170737876968,1.52285668039714,0.670962164002787,0.290611241753144,0.771213872491084,0.40133891593968,0.679375349778225,0.654442828242871,0.375219847162206,0.907433570091291
10,1.04149559787673,0.453662501456581,0.817977865122428,1.08609341168687,0.84065057778293,0.611292479293272,0.920726204943674,0.386190268179574,0.702817314347345,0.720439187866888,1.01558006190547,0.310443858762658,1.51924917477911,0.669666387970772,0.289914942899862,0.770281536915954,0.400751701750865,0.67872248133502,0.652844744059349,0.374639527096858,0.90624411926908
11,1.0267804729997,0.447050092087177,0.806895376535361,1.07082358052737,0.829659558561656,0.603270359986167,0.908134120662626,0.38045226517367,0.693305345223238,0.71071914803403,1.00142202869926,0.30555711889158,1.50003473872312,0.660817898590357,0.286143400952976,0.759860693805389,0.395676575813746,0.66982208708841,0.643702143155629,0.369783447777805,0.893936879600884
12,1.03230437400471,0.449577425679531,0.815513146552565,1.07778683324251,0.84129483168509,0.6122866137686,0.917513474032857,0.381693630370453,0.701573874494136,0.717594730197832,1.00853524163764,0.305003630828132,1.51735219158644,0.667388012736572,0.289102909586245,0.769176467692961,0.400830982542775,0.676838641502929,0.648813814051302,0.37387994557096,0.903188522891464
13,1.02583532507039,0.444697726825885,0.806175568034086,1.0697281549023,0.830818025342586,0.605813298326082,0.908519249929754,0.376246431497558,0.692542100451362,0.710200498537194,1.00058287604119,0.300761624093375,1.49787576724852,0.660171433883788,0.286434923252327,0.759382386763796,0.396190707455269,0.669639396267814,0.644722631142685,0.369688203480891,0.894285600450691
14,1.03895570275551,0.450652083570468,0.820611642308103,1.08355027330062,0.847222096500057,0.617448779487874,0.924074505536127,0.380266046310396,0.705910601048839,0.722330203850523,1.0151063542826,0.303345526445994,1.52977627366141,0.672306492107918,0.292028567749618,0.77398630685209,0.404420773861048,0.680896183292044,0.655903647263677,0.376663293042175,0.909870527302801
15,1.03311550785592,0.446308830843753,0.809361356754339,1.07546741724853,0.832830433826383,0.608140423239186,0.913270732613221,0.375773103698856,0.694936403189413,0.713344379497994,1.00677141055888,0.301122642575053,1.50251361717973,0.663033346731623,0.288185518478539,0.761973002326903,0.397682509834665,0.671548369855871,0.651322795747792,0.370992763874511,0.899032407505526
